CODIGO_MESA_2019,CODIGO_CIRCUITO_2017
0100100289X,01001000011
0100100290X,01001000011
0100100291X,01001000011
0100100292X,01001000011
0100100293X,01001000011
0100100294X,01001000011
0100100295X,01001000011
0100100296X,01001000012
0100100297X,01001000012
0100100298X,01001000012
0100100299X,01001000012
0100100300X,01001000012
0100100301X,01001000012
0100100302X,01001000012
0100100303X,01001000012
0100100304X,01001000012
0100100305X,01001000012
0100100306X,01001000012
0100100307X,01001000012
0100100308X,01001000012
0100100309X,01001000012
0100100310X,01001000012
0100100311X,01001000012
0100100312X,01001000012
0100100313X,01001000012
0100100314X,01001000012
0100100315X,01001000012
0100100316X,01001000012
0100100317X,01001000012
0100100318X,01001000012
0100100319X,01001000012
0100100320X,01001000012
0100100321X,01001000012
0100100322X,01001000012
0100100323X,01001000012
0100100324X,01001000012
0100100325X,01001000012
0100100326X,01001000012
0100100327X,01001000012
0100100328X,01001000013
0100100329X,01001000013
0100100330X,01001000013
0100100331X,01001000013
0100100332X,01001000013
0100100333X,01001000013
0100100334X,01001000013
0100100335X,01001000013
0100100336X,01001000013
0100100337X,01001000013
0100100338X,01001000013
0100100339X,01001000013
0100100340X,01001000013
0100100341X,01001000013
0100100342X,01001000013
0100100343X,01001000013
0100100344X,01001000013
0100100345X,01001000013
0100100346X,01001000013
0100100347X,01001000013
0100100348X,01001000013
0100100349X,01001000013
0100100350X,01001000013
0100100351X,01001000013
0100100352X,01001000013
0100100353X,01001000013
0100100354X,01001000013
0100100355X,01001000013
0100100356X,01001000013
0100100357X,01001000013
0100100358X,01001000013
0100100359X,01001000013
0100100360X,01001000013
0100100361X,01001000013
0100100362X,01001000013
0100100363X,01001000013
0100100364X,01001000014
0100100365X,01001000014
0100100366X,01001000014
0100100367X,01001000014
0100100368X,01001000014
0100100369X,01001000014
0100100370X,01001000014
0100100371X,01001000014
0100100372X,01001000014
0100100373X,01001000014
0100100374X,01001000014
0100100375X,01001000014
0100100376X,01001000014
0100100377X,01001000014
0100100378X,01001000014
0100100379X,01001000015
0100100380X,01001000015
0100100381X,01001000015
0100100382X,01001000015
0100100383X,01001000015
0100100384X,01001000015
0100100385X,01001000015
0100100386X,01001000015
0100100387X,01001000015
0100100388X,01001000015
0100100389X,01001000015
0100100390X,01001000015
0100100391X,01001000015
0100100392X,01001000015
0100100393X,01001000015
0100100394X,01001000015
0100100395X,01001000015
0100100396X,01001000015
0100100397X,01001000015
0100100398X,01001000015
0100100399X,01001000015
0100100400X,01001000015
0100100401X,01001000015
0100100402X,01001000015
0100100403X,01001000015
0100100404X,01001000016
0100100405X,01001000016
0100100406X,01001000016
0100100407X,01001000016
0100100408X,01001000016
0100100409X,01001000016
0100100410X,01001000016
0100100411X,01001000016
0100100412X,01001000016
0100100413X,01001000016
0100100414X,01001000016
0100100415X,01001000016
0100100416X,01001000016
0100100417X,01001000016
0100100418X,01001000016
0100100419X,01001000016
0100100420X,01001000016
0100100421X,01001000016
0100100422X,01001000016
0100100423X,01001000016
0100100424X,01001000016
0100100425X,01001000016
0100100426X,01001000016
0100100427X,01001000016
0100100428X,01001000017
0100100429X,01001000017
0100100430X,01001000017
0100100431X,01001000017
0100100432X,01001000017
0100100433X,01001000017
0100100434X,01001000017
0100100435X,01001000017
0100100436X,01001000017
0100100437X,01001000017
0100100438X,01001000017
0100100439X,01001000017
0100100440X,01001000017
0100100441X,01001000017
0100100442X,01001000017
0100100443X,01001000017
0100100444X,01001000017
0100100445X,01001000017
0100100446X,01001000017
0100100447X,01001000017
0100100448X,01001000017
0100100449X,01001000017
0100100450X,01001000017
0100100451X,01001000017
0100100452X,01001000017
0100100453X,01001000017
0100100454X,01001000017
0100100455X,01001000017
0100100456X,01001000017
0100100457X,01001000017
0100100458X,01001000017
0100100459X,01001000017
0100100460X,01001000017
0100100461X,01001000017
0100100462X,01001000017
0100100463X,01001000018
0100100464X,01001000018
0100100465X,01001000018
0100100466X,01001000018
0100100467X,01001000018
0100100468X,01001000018
0100100469X,01001000018
0100100470X,01001000018
0100100471X,01001000018
0100100472X,01001000018
0100100473X,01001000018
0100100474X,01001000018
0100100475X,01001000018
0100100476X,01001000018
0100100477X,01001000018
0100100478X,01001000018
0100100479X,01001000018
0100100480X,01001000018
0100100481X,01001000018
0100100482X,01001000018
0100100483X,01001000018
0100100484X,01001000018
0100100485X,01001000019
0100100486X,01001000019
0100100487X,01001000019
0100100488X,01001000019
0100100489X,01001000019
0100100490X,01001000019
0100100491X,01001000019
0100100492X,01001000019
0100100493X,01001000019
0100100494X,01001000019
0100100495X,01001000019
0100100496X,01001000019
0100100497X,01001000019
0100100498X,01001000019
0100100499X,01001000019
0100100500X,01001000019
0100100501X,01001000019
0100100502X,01001000019
0100100503X,01001000019
0100100504X,01001000019
0100100505X,01001000019
0100100506X,01001000019
0100100507X,01001000019
0100100508X,01001000019
0100100509X,01001000019
0100100510X,01001000019
0100100511X,01001000019
0100100512X,01001000019
0100100513X,01001000019
0100100514X,01001000019
0100100515X,01001000019
0100100516X,01001000019
0100100517X,01001000019
0100200518X,01002000020
0100200519X,01002000020
0100200520X,01002000020
0100200521X,01002000020
0100200522X,01002000020
0100200523X,01002000020
0100200524X,01002000020
0100200525X,01002000020
0100200526X,01002000020
0100200527X,01002000020
0100200528X,01002000020
0100200529X,01002000020
0100200530X,01002000020
0100200531X,01002000020
0100200532X,01002000020
0100200533X,01002000020
0100200534X,01002000020
0100200535X,01002000020
0100200536X,01002000020
0100200537X,01002000020
0100200538X,01002000020
0100200539X,01002000020
0100200540X,01002000020
0100200541X,01002000020
0100200542X,01002000021
0100200543X,01002000021
0100200544X,01002000021
0100200545X,01002000021
0100200546X,01002000021
0100200547X,01002000021
0100200548X,01002000021
0100200549X,01002000021
0100200550X,01002000021
0100200551X,01002000021
0100200552X,01002000021
0100200553X,01002000021
0100200554X,01002000021
0100200555X,01002000021
0100200556X,01002000021
0100200557X,01002000021
0100200558X,01002000021
0100200559X,01002000021
0100200560X,01002000021
0100200561X,01002000021
0100200562X,01002000021
0100200563X,01002000021
0100200564X,01002000021
0100200565X,01002000021
0100200566X,01002000021
0100200567X,01002000021
0100200568X,01002000021
0100200569X,01002000021
0100200570X,01002000021
0100200571X,01002000021
0100200572X,01002000021
0100200573X,01002000021
0100200574X,01002000021
0100200575X,01002000021
0100200576X,01002000021
0100200577X,01002000021
0100200578X,01002000021
0100200579X,01002000021
0100200580X,01002000021
0100200581X,01002000022
0100200582X,01002000022
0100200583X,01002000022
0100200584X,01002000022
0100200585X,01002000022
0100200586X,01002000022
0100200587X,01002000022
0100200588X,01002000022
0100200589X,01002000022
0100200590X,01002000022
0100200591X,01002000022
0100200592X,01002000022
0100200593X,01002000022
0100200594X,01002000022
0100200595X,01002000022
0100200596X,01002000022
0100200597X,01002000022
0100200598X,01002000022
0100200599X,01002000022
0100200600X,01002000022
0100200601X,01002000022
0100200602X,01002000022
0100200603X,01002000022
0100200604X,01002000022
0100200605X,01002000022
0100200606X,01002000022
0100200607X,01002000022
0100200608X,01002000022
0100200609X,01002000022
0100200610X,01002000022
0100200611X,01002000022
0100200612X,01002000022
0100200613X,01002000022
0100200614X,01002000022
0100200615X,01002000022
0100200616X,01002000022
0100200617X,01002000022
0100200618X,01002000022
0100200619X,01002000022
0100200620X,01002000022
0100200621X,01002000022
0100200622X,01002000022
0100200623X,01002000022
0100200624X,01002000022
0100200625X,01002000022
0100200626X,01002000022
0100200627X,01002000022
0100200628X,01002000023
0100200629X,01002000023
0100200630X,01002000023
0100200631X,01002000023
0100200632X,01002000023
0100200633X,01002000023
0100200634X,01002000023
0100200635X,01002000023
0100200636X,01002000023
0100200637X,01002000023
0100200638X,01002000023
0100200639X,01002000023
0100200640X,01002000023
0100200641X,01002000023
0100200642X,01002000023
0100200643X,01002000023
0100200644X,01002000023
0100200645X,01002000023
0100200646X,01002000023
0100200647X,01002000023
0100200648X,01002000023
0100200649X,01002000023
0100200650X,01002000023
0100200651X,01002000023
0100200652X,01002000023
0100200653X,01002000023
0100200654X,01002000023
0100200655X,01002000023
0100200656X,01002000023
0100200657X,01002000023
0100200658X,01002000023
0100200659X,01002000023
0100200660X,01002000023
0100200661X,01002000023
0100200662X,01002000023
0100200663X,01002000023
0100200664X,01002000023
0100200665X,01002000023
0100200666X,01002000023
0100200667X,01002000023
0100200668X,01002000023
0100200669X,01002000023
0100200670X,01002000023
0100200671X,01002000023
0100200672X,01002000023
0100200673X,01002000023
0100200674X,01002000023
0100200675X,01002000023
0100200676X,01002000023
0100200677X,01002000023
0100200678X,01002000023
0100200679X,01002000023
0100200680X,01002000023
0100200681X,01002000023
0100200682X,01002000023
0100200683X,01002000023
0100200684X,01002000023
0100200685X,01002000023
0100200686X,01002000024
0100200687X,01002000024
0100200688X,01002000024
0100200689X,01002000024
0100200690X,01002000024
0100200691X,01002000024
0100200692X,01002000024
0100200693X,01002000024
0100200694X,01002000024
0100200695X,01002000024
0100200696X,01002000024
0100200697X,01002000024
0100200698X,01002000024
0100200699X,01002000024
0100200700X,01002000024
0100200701X,01002000024
0100200702X,01002000024
0100200703X,01002000024
0100200704X,01002000024
0100200705X,01002000024
0100200706X,01002000024
0100200707X,01002000024
0100200708X,01002000024
0100200709X,01002000024
0100200710X,01002000024
0100200711X,01002000024
0100200712X,01002000024
0100200713X,01002000024
0100200714X,01002000024
0100200715X,01002000024
0100200716X,01002000024
0100200717X,01002000024
0100200718X,01002000024
0100200719X,01002000024
0100200720X,01002000024
0100200721X,01002000024
0100200722X,01002000024
0100200723X,01002000024
0100200724X,01002000025
0100200725X,01002000025
0100200726X,01002000025
0100200727X,01002000025
0100200728X,01002000025
0100200729X,01002000025
0100200730X,01002000025
0100200731X,01002000025
0100200732X,01002000025
0100200733X,01002000025
0100200734X,01002000025
0100200735X,01002000025
0100200736X,01002000025
0100200737X,01002000025
0100200738X,01002000025
0100200739X,01002000025
0100200740X,01002000025
0100200741X,01002000025
0100200742X,01002000025
0100200743X,01002000025
0100200744X,01002000025
0100200745X,01002000025
0100200746X,01002000025
0100200747X,01002000025
