CODIGO_MESA_2019,CODIGO_CIRCUITO_2017
0100301235X,01003000038
0100301236X,01003000038
0100301237X,01003000038
0100301238X,01003000039
0100301239X,01003000039
0100301240X,01003000039
0100301241X,01003000039
0100301242X,01003000039
0100301243X,01003000039
0100301244X,01003000039
0100301245X,01003000039
0100301246X,01003000039
0100301247X,01003000039
0100301248X,01003000039
0100301249X,01003000039
0100301250X,01003000039
0100301251X,01003000039
0100301252X,01003000039
0100301253X,01003000039
0100301254X,01003000039
0100301255X,01003000039
0100301256X,01003000039
0100301257X,01003000039
0100301258X,01003000039
0100301259X,01003000039
0100301260X,01003000039
0100301261X,01003000039
0100301262X,01003000039
0100301263X,01003000039
0100301264X,01003000039
0100301265X,01003000039
0100301266X,01003000039
0100301267X,01003000039
0100301268X,01003000039
0100301269X,01003000039
0100301270X,01003000039
0100301271X,01003000039
0100301272X,01003000039
0100301273X,01003000039
0100301274X,01003000039
0100301275X,01003000039
0100301276X,01003000040
0100301277X,01003000040
0100301278X,01003000040
0100301279X,01003000040
0100301280X,01003000040
0100301281X,01003000040
0100301282X,01003000040
0100301283X,01003000040
0100301284X,01003000040
0100301285X,01003000040
0100301286X,01003000040
0100301287X,01003000040
0100301288X,01003000040
0100301289X,01003000040
0100301290X,01003000040
0100301291X,01003000040
0100301292X,01003000040
0100301293X,01003000040
0100301294X,01003000040
0100301295X,01003000040
0100301296X,01003000040
0100301297X,01003000040
0100301298X,01003000040
0100301299X,01003000040
0100301300X,01003000040
0100301301X,01003000040
0100301302X,01003000040
0100301303X,01003000041
0100301304X,01003000041
0100301305X,01003000041
0100301306X,01003000041
0100301307X,01003000041
0100301308X,01003000041
0100301309X,01003000041
0100301310X,01003000041
0100301311X,01003000041
0100301312X,01003000041
0100301313X,01003000041
0100301314X,01003000041
0100301315X,01003000041
0100301316X,01003000041
0100301317X,01003000041
0100301318X,01003000041
0100301319X,01003000041
0100301320X,01003000041
0100301321X,01003000041
0100301322X,01003000041
0100301323X,01003000041
0100301324X,01003000041
0100301325X,01003000041
0100301326X,01003000041
0100301327X,01003000041
0100301328X,01003000041
0100301329X,01003000041
0100301330X,01003000041
0100301331X,01003000041
0100301332X,01003000041
0100301333X,01003000041
0100301334X,01003000041
0100301335X,01003000041
0100301336X,01003000041
0100301337X,01003000041
0100301338X,01003000041
0100301339X,01003000041
0100301340X,01003000041
0100301341X,01003000041
0100301342X,01003000041
0100301343X,01003000041
0100301344X,01003000041
0100301345X,01003000041
0100301346X,01003000041
0100301347X,01003000041
0100301348X,01003000041
0100301349X,01003000041
0100301350X,01003000041
0100301351X,01003000041
0100301352X,01003000041
0100301353X,01003000041
0100301354X,01003000041
0100301355X,01003000041
0100301356X,01003000042
0100301357X,01003000042
0100301358X,01003000042
0100301359X,01003000042
0100301360X,01003000042
0100301361X,01003000042
0100301362X,01003000042
0100301363X,01003000042
0100301364X,01003000042
0100301365X,01003000042
0100301366X,01003000042
0100301367X,01003000042
0100301368X,01003000042
0100301369X,01003000042
0100301370X,01003000042
0100301371X,01003000042
0100301372X,01003000042
0100301373X,01003000042
0100301374X,01003000042
0100301375X,01003000042
0100301376X,01003000042
0100301377X,01003000042
0100301378X,01003000042
0100301379X,01003000042
0100301380X,01003000042
0100301381X,01003000042
0100301382X,01003000042
0100301383X,01003000042
0100301384X,01003000042
0100301385X,01003000042
0100301386X,01003000042
0100301387X,01003000042
0100301388X,01003000042
0100301389X,01003000042
0100301390X,01003000042
0100301391X,01003000042
0100301392X,01003000042
0100301393X,01003000042
0100301394X,01003000042
0100301395X,01003000042
0100301396X,01003000042
0100301397X,01003000042
0100301398X,01003000042
0100301399X,01003000042
0100301400X,01003000042
0100301401X,01003000042
0100401402X,01004000043
0100401403X,01004000043
0100401404X,01004000043
0100401405X,01004000043
0100401406X,01004000043
0100401407X,01004000043
0100401408X,01004000043
0100401409X,01004000043
0100401410X,01004000043
0100401411X,01004000043
0100401412X,01004000043
0100401413X,01004000043
0100401414X,01004000043
0100401415X,01004000043
0100401416X,01004000043
0100401417X,01004000043
0100401418X,01004000043
0100401419X,01004000043
0100401420X,01004000043
0100401421X,01004000043
0100401422X,01004000043
0100401423X,01004000043
0100401424X,01004000043
0100401425X,01004000043
0100401426X,01004000043
0100401427X,01004000043
0100401428X,01004000043
0100401429X,01004000043
0100401430X,01004000043
0100401431X,01004000043
0100401432X,01004000043
0100401433X,01004000043
0100401434X,01004000043
0100401435X,01004000043
0100401436X,01004000043
0100401437X,01004000044
0100401438X,01004000044
0100401439X,01004000044
0100401440X,01004000044
0100401441X,01004000044
0100401442X,01004000044
0100401443X,01004000044
0100401444X,01004000044
0100401445X,01004000044
0100401446X,01004000044
0100401447X,01004000044
0100401448X,01004000044
0100401449X,01004000044
0100401450X,01004000044
0100401451X,01004000044
0100401452X,01004000044
0100401453X,01004000044
0100401454X,01004000044
0100401455X,01004000044
0100401456X,01004000044
0100401457X,01004000044
0100401458X,01004000044
0100401459X,01004000044
0100401460X,01004000044
0100401461X,01004000044
0100401462X,01004000044
0100401463X,01004000044
0100401464X,01004000045
0100401465X,01004000045
0100401466X,01004000045
0100401467X,01004000045
0100401468X,01004000045
0100401469X,01004000045
0100401470X,01004000045
0100401471X,01004000045
0100401472X,01004000045
0100401473X,01004000045
0100401474X,01004000045
0100401475X,01004000045
0100401476X,01004000045
0100401477X,01004000045
0100401478X,01004000045
0100401479X,01004000045
0100401480X,01004000045
0100401481X,01004000045
0100401482X,01004000045
0100401483X,01004000045
0100401484X,01004000045
0100401485X,01004000046
0100401486X,01004000046
0100401487X,01004000046
0100401488X,01004000046
0100401489X,01004000046
0100401490X,01004000046
0100401491X,01004000046
0100401492X,01004000046
0100401493X,01004000046
0100401494X,01004000046
0100401495X,01004000046
0100401496X,01004000046
0100401497X,01004000046
0100401498X,01004000046
0100401499X,01004000046
0100401500X,01004000046
0100401501X,01004000046
0100401502X,01004000046
0100401503X,01004000046
0100401504X,01004000047
0100401505X,01004000047
0100401506X,01004000047
0100401507X,01004000047
0100401508X,01004000047
0100401509X,01004000047
0100401510X,01004000047
0100401511X,01004000047
0100401512X,01004000047
0100401513X,01004000047
0100401514X,01004000047
0100401515X,01004000047
0100401516X,01004000047
0100401517X,01004000047
0100401518X,01004000047
0100401519X,01004000047
0100401520X,01004000047
0100401521X,01004000047
0100401522X,01004000047
0100401523X,01004000047
0100401524X,01004000047
0100401525X,01004000047
0100401526X,01004000047
0100401527X,01004000047
0100401528X,01004000047
0100401529X,01004000047
0100401530X,01004000047
0100401531X,01004000047
0100401532X,01004000047
0100401533X,01004000047
0100401534X,01004000047
0100401535X,01004000047
0100401536X,01004000047
0100401537X,01004000047
0100401538X,01004000047
0100401539X,01004000047
0100401540X,01004000047
0100401541X,01004000047
0100401542X,01004000047
0100401543X,01004000047
0100401544X,01004000047
0100401545X,01004000047
0100401546X,01004000047
0100401547X,01004000047
0100401548X,01004000047
0100401549X,01004000048
0100401550X,01004000048
0100401551X,01004000048
0100401552X,01004000048
0100401553X,01004000048
0100401554X,01004000048
0100401555X,01004000048
0100401556X,01004000048
0100401557X,01004000048
0100401558X,01004000048
0100401559X,01004000048
0100401560X,01004000048
0100401561X,01004000048
0100401562X,01004000048
0100401563X,01004000048
0100401564X,01004000048
0100401565X,01004000048
0100401566X,01004000048
0100401567X,01004000048
0100401568X,01004000048
0100401569X,01004000048
0100401570X,01004000048
0100401571X,01004000048
0100401572X,01004000048
0100401573X,01004000048
0100401574X,01004000048
0100401575X,01004000048
0100401576X,01004000048
0100401577X,01004000048
0100401578X,01004000048
0100401579X,01004000048
0100401580X,01004000048
0100401581X,01004000048
0100401582X,01004000048
0100401583X,01004000048
0100401584X,01004000048
0100401585X,01004000048
0100401586X,01004000048
0100401587X,01004000048
0100401588X,01004000048
0100401589X,01004000048
0100401590X,01004000048
0100401591X,01004000049
0100401592X,01004000049
0100401593X,01004000049
0100401594X,01004000049
0100401595X,01004000049
0100401596X,01004000049
0100401597X,01004000049
0100401598X,01004000049
0100401599X,01004000049
0100401600X,01004000049
0100401601X,01004000049
0100401602X,01004000049
0100401603X,01004000049
0100401604X,01004000049
0100401605X,01004000049
0100401606X,01004000049
0100401607X,01004000049
0100401608X,01004000049
0100401609X,01004000049
0100401610X,01004000049
0100401611X,01004000049
0100401612X,01004000049
0100401613X,01004000049
0100401614X,01004000049
0100401615X,01004000049
0100401616X,01004000049
0100401617X,01004000049
0100401618X,01004000049
0100401619X,01004000049
0100401620X,01004000049
0100401621X,01004000049
0100401622X,01004000049
0100401623X,01004000049
0100401624X,01004000049
0100401625X,01004000049
0100401626X,01004000050
0100401627X,01004000050
0100401628X,01004000050
0100401629X,01004000050
0100401630X,01004000050
0100401631X,01004000050
0100401632X,01004000050
0100401633X,01004000050
0100401634X,01004000050
0100401635X,01004000050
0100401636X,01004000050
0100401637X,01004000050
0100401638X,01004000050
0100401639X,01004000050
0100401640X,01004000050
0100401641X,01004000050
0100401642X,01004000050
0100401643X,01004000050
0100401644X,01004000050
0100401645X,01004000050
0100401646X,01004000050
0100401647X,01004000050
0100401648X,01004000050
0100401649X,01004000050
0100401650X,01004000050
0100401651X,01004000050
0100401652X,01004000050
0100401653X,01004000050
0100401654X,01004000050
0100401655X,01004000050
0100401656X,01004000050
0100401657X,01004000050
0100401658X,01004000050
0100401659X,01004000050
0100401660X,01004000050
0100401661X,01004000050
0100401662X,01004000050
0100401663X,01004000050
0100401664X,01004000050
0100401665X,01004000050
0100401666X,01004000050
0100401667X,01004000051
0100401668X,01004000051
0100401669X,01004000051
0100401670X,01004000051
0100401671X,01004000051
0100401672X,01004000051
0100401673X,01004000051
0100401674X,01004000051
0100401675X,01004000051
0100401676X,01004000051
0100401677X,01004000051
0100401678X,01004000051
0100401679X,01004000051
0100401680X,01004000051
0100401681X,01004000051
0100401682X,01004000051
0100401683X,01004000051
0100401684X,01004000051
0100401685X,01004000051
0100401686X,01004000051
0100401687X,01004000051
0100401688X,01004000051
0100401689X,01004000051
0100401690X,01004000051
0100401691X,01004000051
0100401692X,01004000051
0100401693X,01004000051
0100401694X,01004000051
0100401695X,01004000051
0100401696X,01004000052
0100401697X,01004000052
0100401698X,01004000052
0100401699X,01004000052
0100401700X,01004000052
0100401701X,01004000052
0100401702X,01004000052
0100401703X,01004000052
0100401704X,01004000052
0100401705X,01004000052
0100401706X,01004000052
0100401707X,01004000052
0100401708X,01004000052
0100401709X,01004000052
0100401710X,01004000052
0100401711X,01004000052
0100401712X,01004000052
0100401713X,01004000052
0100401714X,01004000052
0100401715X,01004000052
0100401716X,01004000052
0100401717X,01004000052
0100401718X,01004000052
0100401719X,01004000052
0100401720X,01004000052
0100401721X,01004000052
0100401722X,01004000052
0100401723X,01004000052
0100401724X,01004000052
0100401725X,01004000052
0100401726X,01004000052
0100401727X,01004000052
0100401728X,01004000052
0100401729X,01004000052
0100401730X,01004000052
0100401731X,01004000052
0100401732X,01004000052
0100401733X,01004000053
0100401734X,01004000053
0100401735X,01004000053
0100401736X,01004000053
0100401737X,01004000053
0100401738X,01004000053
0100401739X,01004000053
0100401740X,01004000053
0100401741X,01004000053
0100401742X,01004000053
0100401743X,01004000053
0100401744X,01004000053
0100401745X,01004000053
0100401746X,01004000053
0100401747X,01004000053
0100401748X,01004000053
0100401749X,01004000053
0100401750X,01004000053
0100401751X,01004000053
0100401752X,01004000053
0100401753X,01004000053
0100401754X,01004000053
0100401755X,01004000053
0100401756X,01004000053
0100401757X,01004000053
0100401758X,01004000053
0100401759X,01004000053
0100401760X,01004000053
0100401761X,01004000053
0100401762X,01004000053
0100401763X,01004000053
0100401764X,01004000053
0100401765X,01004000053
0100401766X,01004000053
0100401767X,01004000053
0100401768X,01004000053
0100401769X,01004000053
0100401770X,01004000053
0100401771X,01004000053
0100401772X,01004000053
0100401773X,01004000053
0100401774X,01004000054
0100401775X,01004000054
0100401776X,01004000054
0100401777X,01004000054
0100401778X,01004000054
0100401779X,01004000054
0100401780X,01004000054
0100401781X,01004000054
0100401782X,01004000054
0100401783X,01004000054
0100401784X,01004000054
0100401785X,01004000054
0100401786X,01004000054
0100401787X,01004000054
0100401788X,01004000054
0100401789X,01004000054
0100401790X,01004000054
0100401791X,01004000054
0100401792X,01004000054
0100401793X,01004000054
0100401794X,01004000054
0100401795X,01004000054
0100401796X,01004000054
0100401797X,01004000054
0100401798X,01004000054
0100401799X,01004000054
0100401800X,01004000054
0100401801X,01004000054
0100401802X,01004000054
0100401803X,01004000054
0100401804X,01004000054
0100401805X,01004000054
0100401806X,01004000054
0100401807X,01004000054
0100401808X,01004000054
0100401809X,01004000054
0100401810X,01004000054
0100401811X,01004000054
0100401812X,01004000054
0100401813X,01004000054
0100401814X,01004000054
0100401815X,01004000054
0100401816X,01004000054
0100401817X,01004000055
0100401818X,01004000055
0100401819X,01004000055
0100401820X,01004000055
0100401821X,01004000055
0100401822X,01004000055
0100401823X,01004000055
0100401824X,01004000055
0100401825X,01004000055
0100401826X,01004000055
0100401827X,01004000055
0100401828X,01004000055
0100401829X,01004000055
0100401830X,01004000055
0100401831X,01004000055
0100401832X,01004000055
0100401833X,01004000055
0100401834X,01004000055
0100401835X,01004000055
0100401836X,01004000055
0100401837X,01004000055
0100401838X,01004000055
0100401839X,01004000055
0100401840X,01004000055
0100401841X,01004000055
0100401842X,01004000055
0100401843X,01004000055
0100401844X,01004000055
0100401845X,01004000055
0100401846X,01004000056
0100401847X,01004000056
0100401848X,01004000056
0100401849X,01004000056
0100401850X,01004000056
0100401851X,01004000056
0100401852X,01004000056
0100401853X,01004000056
0100401854X,01004000056
0100401855X,01004000056
0100401856X,01004000056
0100401857X,01004000056
0100401858X,01004000056
0100401859X,01004000056
0100401860X,01004000056
0100401861X,01004000056
0100401862X,01004000056
0100401863X,01004000056
0100401864X,01004000056
0100401865X,01004000056
0100401866X,01004000056
0100401867X,01004000056
0100401868X,01004000056
0100401869X,01004000056
0100401870X,01004000056
0100401871X,01004000056
0100401872X,01004000057
0100401873X,01004000057
0100401874X,01004000057
0100401875X,01004000057
0100401876X,01004000057
0100401877X,01004000057
0100401878X,01004000057
0100401879X,01004000057
0100401880X,01004000057
0100401881X,01004000057
0100401882X,01004000057
0100401883X,01004000057
0100401884X,01004000057
0100401885X,01004000057
0100401886X,01004000057
0100401887X,01004000057
0100401888X,01004000057
0100401889X,01004000057
0100401890X,01004000057
0100401891X,01004000057
0100401892X,01004000057
0100401893X,01004000057
0100401894X,01004000057
0100401895X,01004000057
0100401896X,01004000057
0100401897X,01004000057
0100401898X,01004000057
0100401899X,01004000057
0100401900X,01004000057
0100401901X,01004000057
0100401902X,01004000057
0100401903X,01004000057
0100401904X,01004000057
0100401905X,01004000057
0100401906X,01004000057
0100401907X,01004000057
0100401908X,01004000057
0100401909X,01004000057
0100401910X,01004000057
0100401911X,01004000057
0100401912X,01004000057
0100401913X,01004000057
0100401914X,01004000057
0100401915X,01004000057
0100401916X,01004000057
0100401917X,01004000057
0100401918X,01004000057
0100401919X,01004000057
0100401920X,01004000057
0100401921X,01004000057
0100401922X,01004000057
0100401923X,01004000057
0100401924X,01004000057
0100401925X,01004000057
0100501926X,01005000058
0100501927X,01005000058
0100501928X,01005000058
0100501929X,01005000058
0100501930X,01005000058
0100501931X,01005000058
0100501932X,01005000058
0100501933X,01005000058
0100501934X,01005000058
0100501935X,01005000058
0100501936X,01005000058
0100501937X,01005000058
0100501938X,01005000058
0100501939X,01005000058
0100501940X,01005000058
0100501941X,01005000058
0100501942X,01005000058
0100501943X,01005000058
0100501944X,01005000058
0100501945X,01005000058
0100501946X,01005000058
0100501947X,01005000058
0100501948X,01005000058
0100501949X,01005000058
0100501950X,01005000058
0100501951X,01005000058
0100501952X,01005000058
0100501953X,01005000058
0100501954X,01005000058
0100501955X,01005000058
0100501956X,01005000058
0100501957X,01005000058
0100501958X,01005000058
0100501959X,01005000058
0100501960X,01005000058
0100501961X,01005000058
0100501962X,01005000058
0100501963X,01005000058
0100501964X,01005000058
0100501965X,01005000058
0100501966X,01005000058
0100501967X,01005000059
0100501968X,01005000059
0100501969X,01005000059
0100501970X,01005000059
0100501971X,01005000059
0100501972X,01005000059
0100501973X,01005000059
0100501974X,01005000059
0100501975X,01005000059
0100501976X,01005000059
0100501977X,01005000059
0100501978X,01005000059
0100501979X,01005000059
0100501980X,01005000059
0100501981X,01005000059
0100501982X,01005000059
0100501983X,01005000059
0100501984X,01005000059
0100501985X,01005000059
0100501986X,01005000059
0100501987X,01005000059
0100501988X,01005000059
0100501989X,01005000059
0100501990X,01005000059
0100501991X,01005000059
0100501992X,01005000059
0100501993X,01005000059
0100501994X,01005000059
0100501995X,01005000059
0100501996X,01005000059
0100501997X,01005000059
0100501998X,01005000059
0100501999X,01005000059
0100502000X,01005000059
0100502001X,01005000059
0100502002X,01005000059
0100502003X,01005000059
0100502004X,01005000059
0100502005X,01005000060
0100502006X,01005000060
0100502007X,01005000060
0100502008X,01005000060
0100502009X,01005000060
0100502010X,01005000060
0100502011X,01005000060
0100502012X,01005000060
0100502013X,01005000060
0100502014X,01005000060
0100502015X,01005000060
0100502016X,01005000060
0100502017X,01005000060
0100502018X,01005000060
0100502019X,01005000060
0100502020X,01005000060
0100502021X,01005000060
0100502022X,01005000060
0100502023X,01005000060
0100502024X,01005000060
0100502025X,01005000060
0100502026X,01005000060
0100502027X,01005000060
0100502028X,01005000060
0100502029X,01005000060
0100502030X,01005000060
0100502031X,01005000060
0100502032X,01005000060
0100502033X,01005000060
0100502034X,01005000060
0100502035X,01005000060
0100502036X,01005000060
0100502037X,01005000060
0100502038X,01005000060
0100502039X,01005000060
0100502040X,01005000060
0100502041X,01005000060
0100502042X,01005000060
0100502043X,01005000060
0100502044X,01005000060
0100502045X,01005000060
0100502046X,01005000060
0100502047X,01005000060
0100502048X,01005000060
0100502049X,01005000060
0100502050X,01005000060
0100502051X,01005000061
0100502052X,01005000061
0100502053X,01005000061
0100502054X,01005000061
0100502055X,01005000061
0100502056X,01005000061
0100502057X,01005000061
0100502058X,01005000061
0100502059X,01005000061
0100502060X,01005000061
0100502061X,01005000061
0100502062X,01005000061
0100502063X,01005000061
0100502064X,01005000061
0100502065X,01005000061
0100502066X,01005000061
0100502067X,01005000061
0100502068X,01005000061
0100502069X,01005000061
0100502070X,01005000061
0100502071X,01005000061
0100502072X,01005000061
0100502073X,01005000061
0100502074X,01005000061
0100502075X,01005000061
0100502076X,01005000061
0100502077X,01005000061
0100502078X,01005000061
0100502079X,01005000061
0100502080X,01005000061
0100502081X,01005000061
0100502082X,01005000061
0100502083X,01005000061
0100502084X,01005000061
0100502085X,01005000061
0100502086X,01005000061
0100502087X,01005000061
0100502088X,01005000061
0100502089X,01005000061
0100502090X,01005000061
0100502091X,01005000061
0100502092X,01005000061
0100502093X,01005000061
0100502094X,01005000061
0100502095X,01005000062
0100502096X,01005000062
0100502097X,01005000062
0100502098X,01005000062
0100502099X,01005000062
0100502100X,01005000062
0100502101X,01005000062
0100502102X,01005000062
0100502103X,01005000062
0100502104X,01005000062
0100502105X,01005000062
0100502106X,01005000062
0100502107X,01005000062
0100502108X,01005000062
0100502109X,01005000062
0100502110X,01005000062
0100502111X,01005000062
0100502112X,01005000062
0100502113X,01005000062
0100502114X,01005000062
0100502115X,01005000062
0100502116X,01005000062
0100502117X,01005000062
0100502118X,01005000062
0100502119X,01005000062
0100502120X,01005000062
0100502121X,01005000062
0100502122X,01005000062
0100502123X,01005000062
0100502124X,01005000062
0100502125X,01005000063
0100502126X,01005000063
0100502127X,01005000063
0100502128X,01005000063
0100502129X,01005000063
0100502130X,01005000063
0100502131X,01005000063
0100502132X,01005000063
0100502133X,01005000063
0100502134X,01005000063
0100502135X,01005000063
0100502136X,01005000063
0100502137X,01005000063
0100502138X,01005000063
0100502139X,01005000063
0100502140X,01005000063
0100502141X,01005000063
0100502142X,01005000063
0100502143X,01005000063
0100502144X,01005000063
0100502145X,01005000063
0100502146X,01005000063
0100502147X,01005000063
0100502148X,01005000063
0100502149X,01005000063
0100502150X,01005000063
0100502151X,01005000063
0100502152X,01005000063
0100502153X,01005000063
0100502154X,01005000063
0100502155X,01005000063
0100502156X,01005000063
0100502157X,01005000063
0100502158X,01005000063
0100502159X,01005000063
0100502160X,01005000063
0100502161X,01005000063
0100502162X,01005000063
0100502163X,01005000063
0100502164X,01005000063
0100502165X,01005000063
0100502166X,01005000063
0100502167X,01005000063
0100502168X,01005000063
0100502169X,01005000063
0100502170X,01005000063
0100502171X,01005000063
0100502172X,01005000063
0100502173X,01005000063
0100502174X,01005000063
0100502175X,01005000063
0100502176X,01005000063
0100502177X,01005000063
0100502178X,01005000063
0100502179X,01005000063
0100502180X,01005000063
0100502181X,01005000063
0100502182X,01005000063
0100502183X,01005000064
0100502184X,01005000064
0100502185X,01005000064
0100502186X,01005000064
0100502187X,01005000064
0100502188X,01005000064
0100502189X,01005000064
0100502190X,01005000064
0100502191X,01005000064
0100502192X,01005000064
0100502193X,01005000064
0100502194X,01005000064
0100502195X,01005000064
0100502196X,01005000064
0100502197X,01005000064
0100502198X,01005000064
0100502199X,01005000064
0100502200X,01005000064
0100502201X,01005000064
0100502202X,01005000064
0100502203X,01005000064
0100502204X,01005000064
0100502205X,01005000064
0100502206X,01005000064
0100502207X,01005000064
0100502208X,01005000064
0100502209X,01005000064
0100502210X,01005000064
0100502211X,01005000064
0100502212X,01005000064
0100502213X,01005000064
0100502214X,01005000064
0100502215X,01005000064
0100502216X,01005000064
0100502217X,01005000064
0100502218X,01005000064
0100502219X,01005000064
0100502220X,01005000064
0100502221X,01005000064
0100502222X,01005000064
0100502223X,01005000064
0100502224X,01005000064
0100502225X,01005000064
0100502226X,01005000064
0100502227X,01005000064
0100502228X,01005000064
0100502229X,01005000064
0100502230X,01005000064
0100502231X,01005000064
0100502232X,01005000064
0100502233X,01005000064
0100502234X,01005000064
0100502235X,01005000064
0100502236X,01005000064
0100502237X,01005000064
0100502238X,01005000064
0100502239X,01005000064
0100502240X,01005000064
0100502241X,01005000064
0100502242X,01005000064
0100502243X,01005000064
0100502244X,01005000064
0100502245X,01005000064
0100502246X,01005000064
0100502247X,01005000065
0100502248X,01005000065
0100502249X,01005000065
0100502250X,01005000065
0100502251X,01005000065
0100502252X,01005000065
0100502253X,01005000065
0100502254X,01005000065
0100502255X,01005000065
0100502256X,01005000065
0100502257X,01005000065
0100502258X,01005000065
0100502259X,01005000065
0100502260X,01005000065
0100502261X,01005000065
0100502262X,01005000065
0100502263X,01005000065
0100502264X,01005000065
0100502265X,01005000065
0100502266X,01005000065
0100502267X,01005000065
0100502268X,01005000065
0100502269X,01005000065
0100502270X,01005000065
0100502271X,01005000065
0100502272X,01005000065
0100502273X,01005000065
0100502274X,01005000065
0100502275X,01005000065
0100502276X,01005000065
0100502277X,01005000065
0100502278X,01005000065
0100502279X,01005000065
0100502280X,01005000065
0100502281X,01005000065
0100502282X,01005000065
0100502283X,01005000065
0100502284X,01005000065
0100502285X,01005000065
0100502286X,01005000065
0100502287X,01005000066
0100502288X,01005000066
0100502289X,01005000066
0100502290X,01005000066
0100502291X,01005000066
0100502292X,01005000066
0100502293X,01005000066
0100502294X,01005000066
0100502295X,01005000066
0100502296X,01005000066
0100502297X,01005000066
0100502298X,01005000066
0100502299X,01005000066
0100502300X,01005000066
0100502301X,01005000066
0100502302X,01005000066
0100502303X,01005000066
0100502304X,01005000066
0100502305X,01005000066
0100502306X,01005000066
0100502307X,01005000066
0100502308X,01005000066
0100502309X,01005000066
0100502310X,01005000066
0100502311X,01005000066
0100502312X,01005000066
0100502313X,01005000066
0100502314X,01005000066
0100502315X,01005000066
0100502316X,01005000066
0100502317X,01005000066
0100502318X,01005000066
0100502319X,01005000066
0100502320X,01005000066
0100502321X,01005000066
0100502322X,01005000066
0100502323X,01005000066
0100502324X,01005000066
0100502325X,01005000067
0100502326X,01005000067
0100502327X,01005000067
0100502328X,01005000067
0100502329X,01005000067
0100502330X,01005000067
0100502331X,01005000067
0100502332X,01005000067
0100502333X,01005000067
0100502334X,01005000067
0100502335X,01005000067
0100502336X,01005000067
0100502337X,01005000067
0100502338X,01005000067
0100502339X,01005000067
0100502340X,01005000067
0100502341X,01005000067
0100502342X,01005000067
0100502343X,01005000067
0100502344X,01005000067
0100502345X,01005000067
0100502346X,01005000067
0100502347X,01005000067
0100502348X,01005000067
0100502349X,01005000067
0100502350X,01005000067
0100502351X,01005000067
0100502352X,01005000067
0100502353X,01005000067
0100502354X,01005000067
0100502355X,01005000067
0100502356X,01005000067
0100502357X,01005000067
0100502358X,01005000067
0100502359X,01005000067
0100502360X,01005000067
0100502361X,01005000067
0100502362X,01005000067
0100502363X,01005000067
0100502364X,01005000067
0100502365X,01005000067
0100502366X,01005000067
0100502367X,01005000067
0100502368X,01005000067
0100502369X,01005000067
0100502370X,01005000067
0100502371X,01005000067
0100502372X,01005000067
0100502373X,01005000067
0100502374X,01005000067
0100502375X,01005000067
0100502376X,01005000067
0100502377X,01005000067
0100502378X,01005000067
0100502379X,01005000067
0100502380X,01005000067
0100502381X,01005000067
0100502382X,01005000067
0100502383X,01005000067
0100602384X,01006000068
0100602385X,01006000068
0100602386X,01006000068
0100602387X,01006000068
0100602388X,01006000068
0100602389X,01006000068
0100602390X,01006000068
0100602391X,01006000068
0100602392X,01006000068
0100602393X,01006000068
0100602394X,01006000068
0100602395X,01006000068
0100602396X,01006000068
0100602397X,01006000068
0100602398X,01006000068
0100602399X,01006000068
0100602400X,01006000068
0100602401X,01006000068
0100602402X,01006000068
0100602403X,01006000068
0100602404X,01006000068
0100602405X,01006000068
0100602406X,01006000068
0100602407X,01006000068
0100602408X,01006000068
0100602409X,01006000068
0100602410X,01006000068
0100602411X,01006000068
0100602412X,01006000068
0100602413X,01006000068
0100602414X,01006000068
0100602415X,01006000068
0100602416X,01006000068
0100602417X,01006000068
0100602418X,01006000068
0100602419X,01006000068
0100602420X,01006000068
0100602421X,01006000068
0100602422X,01006000068
0100602423X,01006000068
0100602424X,01006000068
0100602425X,01006000068
0100602426X,01006000068
0100602427X,01006000068
0100602428X,01006000068
0100602429X,01006000068
0100602430X,01006000068
0100602431X,01006000068
0100602432X,01006000068
0100602433X,01006000068
0100602434X,01006000068
0100602435X,01006000068
0100602436X,01006000068
0100602437X,01006000068
0100602438X,01006000068
0100602439X,01006000068
0100602440X,01006000068
0100602441X,01006000068
0100602442X,01006000069
0100602443X,01006000069
0100602444X,01006000069
0100602445X,01006000069
0100602446X,01006000069
0100602447X,01006000069
0100602448X,01006000069
0100602449X,01006000069
0100602450X,01006000069
0100602451X,01006000069
0100602452X,01006000069
0100602453X,01006000069
0100602454X,01006000069
0100602455X,01006000069
0100602456X,01006000069
0100602457X,01006000069
0100602458X,01006000069
0100602459X,01006000069
0100602460X,01006000069
0100602461X,01006000069
0100602462X,01006000069
0100602463X,01006000069
0100602464X,01006000069
0100602465X,01006000069
0100602466X,01006000069
0100602467X,01006000069
0100602468X,01006000069
0100602469X,01006000069
0100602470X,01006000069
0100602471X,01006000069
0100602472X,01006000069
0100602473X,01006000069
0100602474X,01006000069
0100602475X,01006000069
0100602476X,01006000069
0100602477X,01006000069
0100602478X,01006000069
0100602479X,01006000069
0100602480X,01006000069
0100602481X,01006000069
0100602482X,01006000069
0100602483X,01006000069
0100602484X,01006000069
0100602485X,01006000069
0100602486X,01006000069
0100602487X,01006000069
0100602488X,01006000069
0100602489X,01006000069
0100602490X,01006000069
0100602491X,01006000069
0100602492X,01006000069
0100602493X,01006000069
0100602494X,01006000069
0100602495X,01006000069
0100602496X,01006000069
0100602497X,01006000069
0100602498X,01006000069
0100602499X,01006000069
0100602500X,01006000069
0100602501X,01006000069
0100602502X,01006000069
0100602503X,01006000069
0100602504X,01006000069
