MUNI;label
221120343;LA TIGRA
221120350;SAN BERNARDO
221190357;PRESIDENCIA DE LA PLAZA
221260364;COLONIA BENITEZ
221260371;MARGARITA BELEN
221330378;QUITILIPI
221400385;BARRANQUERAS
221400392;BASAIL
221400399;FONTANA
221400406;PUERTO VILELAS
221400413;RESISTENCIA
221470420;SAMUHU
221470427;VILLA BERTHET
221540434;CAPITAN SOLARI
221540441;COLONIA ELISA
221540448;COLONIAS UNIDAS
221540455;LAS GARCITAS
221610462;COTE LAI
221610469;CHARADAI
221680476;MACHAGAI
260070000;ZONA RURAL
260070007;PUERTO MADRYN
260075028;PUERTO PIRAMIDES
260140000;ZONA RURAL
260140014;CHOLILA
260140021;EL HOYO
260140028;EL MAITEN
260140035;EPUYEN
260140042;LAGO PUELO
260145007;GUALJAINA
260148014;CUSHAMEN CENTRO
260210000;ZONA RURAL
260210049;COMODORO RIVADAVIA
260210056;RADA TILLY
260280000;ZONA RURAL
260280063;CAMARONES
260350000;ZONA RURAL
260350070;CORCOVADO
260350077;ESQUEL
260350084;TREVELIN
260358021;CERRO CENTINELA
260420000;ZONA RURAL
260420091;DOLAVON
260420098;GAIMAN
260425014;28 DE JULIO
260428028;DIQUE FLORENTINO AMEGHINO
260490000;ZONA RURAL
260498035;GASTRE
260498042;LAGUNITA SALADA
260560000;ZONA RURAL
260560105;TECKA
260568049;ALDEA EPULEF
260568056;CARRENLEUFU
260568063;COLAN CONHUE
260568070;PASO DEL SAPO
260630000;ZONA RURAL
260638077;LAS PLUMAS
260700000;ZONA RURAL
260705021;PASO DE INDIOS
260708084;LOS ALTARES
260770000;ZONA RURAL
260770112;RAWSON
260770119;TRELEW
260840000;ZONA RURAL
260840126;ALTO RIO SENGUER
260840133;RIO MAYO
260848091;ALDEA BELEIRO
260848098;DR. RICARDO ROJAS
260848105;FACUNDO
260848112;LAGO BLANCO
260848140;ALDEA APELEG
260910000;ZONA RURAL
260910140;SARMIENTO
260918119;BUEN PASTO
260980000;ZONA RURAL
260980147;GOBERNADOR COSTA
260980154;JOSE DE SAN MARTIN
260980161;RIO PICO
260988147;VIGLIONE
261050000;ZONA RURAL
261058126;GAN GAN
261058133;TELSEN
140070000;ZONA RURAL
140070007;EMBALSE
140070014;LA CRUZ
140070021;LOS CONDORES
140070028;RIO DE LOS SAUCES
140070035;SANTA ROSA DE CALAMUCHITA
140070042;VILLA DEL DIQUE
140070049;VILLA GENERAL BELGRANO
140070056;SAN AGUSTIN
140070063;VILLA RUMIPAL
140070070;VILLA YACANTO
140072007;AMBOY
140072014;CALMAYO
140072021;CAÑADA DEL SAUCE
140072028;LAS BAJADAS
140072035;LAS CALERAS
140072042;LOS MOLINOS
140072049;LOS REARTES
140072056;LUTTI
140072063;SAN IGNACIO
140072070;SEGUNDA USINA
140072077;VILLA AMANCAY
140072084;VILLA CIUDAD PARQUE LOS REARTES
140072091;VILLA QUILLINZO
140073015;LA CUMBRECITA
140140077;CORDOBA
140210000;ZONA RURAL
140210084;AGUA DE ORO
140210091;COLONIA CAROYA
140210098;COLONIA TIROLESA
140210105;ESTACION JUAREZ CELMAN
140210112;JESUS MARIA
140210119;LA CALERA
140210126;LA GRANJA
140210133;MALVINAS ARGENTINAS
140210140;MENDIOLAZA
140210147;RIO CEBALLOS
140210154;SALDAN
140210161;SALSIPUEDES
140210168;UNQUILLO
140210175;VILLA ALLENDE
140212098;COLONIA VICENTE AGÃœERO
140212105;EL MANZANO
140212112;ESTACION GENERAL PAZ
140212119;MI GRANJA
140212126;VILLA CERRO AZUL
140212728;TINOCO
140280000;ZONA RURAL
140280182;CRUZ DEL EJE
140280189;SAN MARCOS SIERRAS
140280196;SERREZUELA
140280203;VILLA DE SOTO
140282133;ALTO DE LOS QUEBRACHOS
140282140;BAÑADO DE SOTO
140282147;CRUZ DE CAÑA
140282154;EL BRETE
140282161;GUANACO MUERTO
140282168;LA BATEA
140282175;LA HIGUERA
140282182;LAS CAÑADAS
140282189;LAS PLAYAS
140282196;LOS CHAÑARITOS (C. D. E.)
140282203;MEDIA NARANJA
140282210;PASO VIEJO
140282217;TUCLAME
140350000;ZONA RURAL
140350210;BUCHARDO
